YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,WS2M,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_RANGE,WD10M,WS50M,WS50M_RANGE,WD50M
1990,3,7,5.16,5.88,0.65,320.1,99.0,-999.0,-999.0,-999.0,-999.0,2.17,12.99,7.83,10.4,14.19,8.16,17.29,9.13,6.53,72.81,0.0,102.13,2.9,2.33,74.81,3.77,2.75,74.69
1990,3,8,4.6,5.18,0.58,334.1,91.1,-999.0,-999.0,-999.0,-999.0,2.34,13.46,7.32,10.39,14.05,11.81,19.62,7.81,6.29,70.25,0.0,102.36,3.21,4.67,165.56,4.23,5.32,166.62
1990,3,9,4.18,5.6,0.52,356.4,83.7,-999.0,-999.0,-999.0,-999.0,2.88,14.21,5.93,10.07,14.1,11.95,20.95,8.99,5.8,61.06,0.0,102.32,4.05,2.47,236.19,5.84,2.91,236.69
1990,3,10,5.05,5.92,0.62,332.9,99.4,-999.0,-999.0,-999.0,-999.0,3.29,16.76,9.65,13.21,16.8,9.02,21.85,12.83,7.39,65.94,0.0,102.57,4.48,2.77,53.75,6.63,5.34,98.44
1990,3,11,4.88,4.64,0.59,312.5,95.0,-999.0,-999.0,-999.0,-999.0,1.89,14.27,8.89,11.58,15.4,10.41,19.81,9.4,7.02,73.25,0.0,102.75,2.63,2.09,69.88,3.55,4.37,69.88
1990,3,12,4.87,5.16,0.59,348.8,95.2,-999.0,-999.0,-999.0,-999.0,3.32,16.0,9.06,12.53,16.1,13.05,22.81,9.76,7.14,67.56,0.0,102.0,4.55,2.72,240.5,6.73,3.95,240.62
1990,3,13,4.68,4.56,0.56,354.0,93.3,-999.0,-999.0,-999.0,-999.0,3.16,16.45,8.81,12.63,16.73,8.1,21.21,13.11,7.08,62.25,0.0,101.6,4.27,3.98,136.25,5.91,4.48,137.25
1990,3,14,4.77,4.8,0.57,343.1,93.4,-999.0,-999.0,-999.0,-999.0,2.27,15.87,11.37,13.62,16.36,8.24,20.37,12.12,8.3,77.06,0.03,101.81,3.02,2.89,70.06,4.03,2.82,70.12
1990,3,15,4.67,5.88,0.55,354.2,94.3,-999.0,-999.0,-999.0,-999.0,1.77,15.28,13.01,14.15,15.21,5.76,18.78,13.02,9.22,86.94,5.03,101.96,2.4,1.95,80.25,3.12,2.1,80.69
1990,3,16,4.33,5.67,0.51,349.0,87.8,-999.0,-999.0,-999.0,-999.0,2.7,14.67,12.3,13.48,14.74,3.91,16.65,12.75,8.79,86.12,4.71,102.01,3.64,2.2,62.12,5.09,4.08,62.31
